Label,CPUUtilization
2022-11-07 18:10,0.334576335
2022-11-07 18:15,0.332240437
2022-11-07 18:20,0.365700747
2022-11-07 18:25,0.334463277
2022-11-07 18:30,0.366740761
2022-11-07 18:35,0.366666667
2022-11-07 18:40,0.333370381
2022-11-07 18:45,0.365136672
2022-11-07 18:50,0.334463277
2022-11-07 18:55,0.366779725
2022-11-07 19:00,0.366157266
2022-11-07 19:05,0.333370381
2022-11-07 19:10,0.367305733
2022-11-07 19:15,0.333370381
2022-11-07 19:20,0.366703714
2022-11-07 19:25,0.366194313
2022-11-07 19:30,0.333333333
2022-11-07 19:35,0.366194313
2022-11-07 19:40,0.333370381
2022-11-07 19:45,0.367268686
2022-11-07 19:50,0.366233277
2022-11-07 19:55,0.366703714
2022-11-07 20:00,0.333370381
2022-11-07 20:05,0.365610818
2022-11-07 20:10,0.36779661
2022-11-07 20:15,0.367305733
2022-11-07 20:20,0.333407428
2022-11-07 20:25,0.366194313
2022-11-07 20:30,0.333370381
2022-11-07 20:35,0.36506437
2022-11-07 20:40,0.334539288
2022-11-07 20:45,0.399490599
2022-11-07 20:50,0.333370381
2022-11-07 20:55,0.366666667
2022-11-07 21:00,0.333407428
2022-11-07 21:05,0.366703714
2022-11-07 21:10,0.366157266
2022-11-07 21:15,0.333370381
2022-11-07 21:20,0.332277484
2022-11-07 21:25,0.367287209
2022-11-07 21:30,0.334500324
2022-11-07 21:35,0.366211044
2022-11-07 21:40,0.36779661
2022-11-07 21:45,0.331368156
2022-11-07 21:50,0.334500324
2022-11-07 21:55,0.366194313
2022-11-07 22:00,0.36790596
2022-11-07 22:05,0.36506437
2022-11-07 22:10,0.333370381
2022-11-07 22:15,0.366194313
2022-11-07 22:20,0.333916829
2022-11-07 22:25,0.333370381
2022-11-07 22:30,0.366779725
2022-11-07 22:35,0.365610818
2022-11-07 22:40,0.334500324
2022-11-07 22:45,0.366703714
2022-11-07 22:50,0.332240437
2022-11-07 22:55,0.366157266
2022-11-07 23:00,0.367287209
2022-11-07 23:05,0.333370381
2022-11-07 23:10,0.366194313
2022-11-07 23:15,0.334539288
2022-11-07 23:20,0.332353495
2022-11-07 23:25,0.366157266
2022-11-07 23:30,0.331878453
2022-11-07 23:35,0.366157266
2022-11-07 23:40,0.332349787
2022-11-07 23:45,0.403485323
2022-11-07 23:50,0.333407428
2022-11-07 23:55,0.397470747
2022-11-08 0:00,0.334463277
2022-11-08 0:05,0.366157266
2022-11-08 0:10,0.366740761
2022-11-08 0:15,0.332277484
2022-11-08 0:20,0.366270324
2022-11-08 0:25,0.366703714
2022-11-08 0:30,0.333407428
2022-11-08 0:35,0.365136672
2022-11-08 0:40,0.36779661
2022-11-08 0:45,0.333407428
2022-11-08 0:50,0.367324257
2022-11-08 0:55,0.36506437
2022-11-08 1:00,0.366703714
2022-11-08 1:05,0.368398629
2022-11-08 1:10,0.331147541
2022-11-08 1:15,0.368417153
2022-11-08 1:20,0.363971474
2022-11-08 1:25,0.333518694
2022-11-08 1:30,0.369074867
2022-11-08 1:35,0.332353495
2022-11-08 1:40,0.366157266
2022-11-08 1:45,0.366157266
2022-11-08 1:50,0.366703714
2022-11-08 1:55,0.367305733
2022-11-08 2:00,0.334500324
2022-11-08 2:05,0.366233277
2022-11-08 2:10,0.365136672
2022-11-08 2:15,0.333370381
2022-11-08 2:20,0.333370381
2022-11-08 2:25,0.366194313
2022-11-08 2:30,0.333370381
2022-11-08 2:35,0.366194313
2022-11-08 2:40,0.365700747
2022-11-08 2:45,0.367340988
2022-11-08 2:50,0.332312739
2022-11-08 2:55,0.367833657
2022-11-08 3:00,0.333407428
2022-11-08 3:05,0.399490599
2022-11-08 3:10,0.333407428
2022-11-08 3:15,0.332314532
2022-11-08 3:20,0.334463277
2022-11-08 3:25,0.366194313
2022-11-08 3:30,0.333370381
2022-11-08 3:35,0.399747365
2022-11-08 3:40,0.5
2022-11-08 3:45,0.333370381
2022-11-08 3:50,0.36557377
2022-11-08 3:55,0.369567536
2022-11-08 4:00,0.366740761
2022-11-08 4:05,0.365175635
2022-11-08 4:10,0.332349787
2022-11-08 4:15,0.367833657
2022-11-08 4:20,0.366157266
